species,ingles,portugues,confianca
Africanelephant,African elephant,Elefante-africano,alta
Africangiantpouchedrat,African giant pouched rat,Rato-gigante-africano,alta
ArcticFox,Arctic fox,Raposa-do-ártico,alta
Arcticgroundsquirrel,Arctic ground squirrel,Esquilo-terrestre-do-ártico,alta
Asianelephant,Asian elephant,Elefante-asiático,alta
Baboon,Baboon,Babuíno,alta
Bigbrownbat,Big brown bat,Morcego-marrom-grande,alta
Braziliantapir,Brazilian tapir,Anta,alta
Cat,Cat,Gato,alta
Chimpanzee,Chimpanzee,Chimpanzé,alta
Chinchilla,Chinchilla,Chinchila,alta
Cow,Cow,Vaca,alta
Deserthedgehog,Desert hedgehog,Ouriço-do-deserto,alta
Donkey,Donkey,Burro,alta
EasternAmericanmole,Eastern American mole,Toupeira-americana-oriental,alta
Echidna,Echidna,Equidna,alta
Europeanhedgehog,European hedgehog,Ouriço-europeu,alta
Galago,Galago,Gálago,alta
Genet,Genet,Geneta,alta
Giantarmadillo,Giant armadillo,Tatu-canastra,alta
Giraffe,Giraffe,Girafa,alta
Goat,Goat,Cabra,alta
Goldenhamster,Golden hamster,Hamster-sírio,alta
Gorilla,Gorilla,Gorila,alta
Grayseal,Gray seal,Foca-cinzenta,alta
Graywolf,Gray wolf,Lobo-cinzento,alta
Groundsquirrel,Ground squirrel,Esquilo-terrestre,alta
Guineapig,Guinea pig,Porquinho-da-índia,alta
Horse,Horse,Cavalo,alta
Jaguar,Jaguar,Onça-pintada,alta
Kangaroo,Kangaroo,Canguru,alta
Lessershort-tailedshrew,Lesser short-tailed shrew,Musaranho-de-cauda-curta,alta
Littlebrownbat,Little brown bat,Morcego-marrom-pequeno,alta
Man,Man,Ser humano,CONFERIR
Molerat,Mole rat,Rato-toupeira,alta
Mountainbeaver,Mountain beaver,Castor-da-montanha,alta
Mouse,Mouse,Camundongo,alta
Muskshrew,Musk shrew,Musaranho-almiscarado,alta
NAmericanopossum,North American opossum,Gambá-norte-americano,alta
Nine-bandedarmadillo,Nine-banded armadillo,Tatu-galinha,alta
Okapi,Okapi,Okapi,alta
Owlmonkey,Owl monkey,Macaco-da-noite,alta
Patasmonkey,Patas monkey,Macaco-patas,alta
Phanlanger,Phalanger,Falanger,CONFERIR
Pig,Pig,Porco,alta
Rabbit,Rabbit,Coelho,alta
Raccoon,Raccoon,Guaxinim,alta
Rat,Rat,Rato,alta
Redfox,Red fox,Raposa-vermelha,alta
Rhesusmonkey,Rhesus monkey,Macaco-rhesus,alta
Rockhyrax(Heterob),Rock hyrax (Heterohyrax),Hirax-das-rochas (Heterohyrax),CONFERIR
Rockhyrax(Procaviahab),Rock hyrax (Procavia),Hirax-das-rochas (Procavia),CONFERIR
Roedeer,Roe deer,Corça,alta
Sheep,Sheep,Ovelha,alta
Slowloris,Slow loris,Lóris-lento,alta
Starnosedmole,Star-nosed mole,Toupeira-de-nariz-estrelado,alta
Tenrec,Tenrec,Tenrec,alta
Treehyrax,Tree hyrax,Hirax-arborícola,alta
Treeshrew,Tree shrew,Tupaia,alta
Vervet,Vervet,Macaco-vervet,alta
Wateropossum,Water opossum,Cuíca-d'água,CONFERIR
Yellow-belliedmarmot,Yellow-bellied marmot,Marmota-de-barriga-amarela,alta
